Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Luminance Bucket,Luminance Bucket Index,Bright Pixel Ratio Bucket,Bright Pixel Ratio Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,Baseline,90,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280885,1.17754,0.778194,0.0657642,0.1
2,Baseline,90,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280476,0.881616,0.632131,0.0836809,0.1
3,Baseline,90,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280465,0.788078,0.581142,0.087461,0.1
4,Baseline,90,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280302,0.739255,0.553457,0.0755306,0.1
5,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280524,0.710678,0.53689,0.0586437,0.1
6,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280548,0.69216,0.526006,0.0512872,0.1
7,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280617,0.678382,0.51783,0.0471467,0.1
8,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280613,0.668062,0.511663,0.0448736,0.1
9,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.28058,0.660057,0.506852,0.0424583,0.1
10,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280591,0.653619,0.502966,0.0399462,0.1
11,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280488,0.648376,0.499791,0.0383455,0.1
12,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280518,0.643985,0.497123,0.0370153,0.1
13,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280508,0.640389,0.494934,0.0360586,0.1
14,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280492,0.637449,0.493139,0.0351787,0.1
15,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280442,0.634712,0.491466,0.0343541,0.1
